track,artist,year,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,valence,charted,weeks-on-board
My-LilUzi,Qdagreat,2018.0,0.087,0.7120000000000001,214857.0,0.623,D,0.218,-9.289,0.246,143.043,0.35,False,0
Big Bang,QFT,2018.0,0.000154,0.443,293253.0,0.7879999999999999,E,0.102,-6.6610000000000005,0.0312,175.697,0.249,False,0
Kembalilah,Uji Rashid,2014.0,0.741,0.319,247640.0,0.502,C,0.301,-6.872000000000001,0.0317,122.417,0.51,False,0
Connexion,Toni-L,2013.0,0.0019,0.72,203303.0,0.852,F#/Gb,0.0795,-3.786,0.121,102.027,0.763,False,0
"Die eisblaue Spur - Island-Krimi, Kapitel 101",Yrsa Sigurðardóttir,2010.0,0.636,0.643,166065.0,0.159,F,0.114,-20.473,0.931,159.857,0.285,False,0
S.T.O.P (feat. Ryan Tedder),David Guetta,2014.0,0.272,0.539,214573.0,0.835,C#/Db,0.142,-3.952,0.038,130.041,0.486,False,0
Dog eat dog,The Souljazz Orchestra,2017.0,0.0917,0.725,425529.0,0.818,C,0.0881,-7.272,0.0299,116.0,0.872,False,0
She's Already Gone - LTN Remix,Ruben de Ronde,2014.0,0.00694,0.635,389091.0,0.642,G#/Ab,0.0962,-7.943,0.0341,131.998,0.327,False,0
Two Skies,Alexis Ffrench,2016.0,0.992,0.406,213358.0,0.0998,F,0.0911,-17.965999999999994,0.0548,142.217,0.216,False,0
Pal Tule De,The Folk Diaryz,2018.0,0.12,0.541,295036.0,0.775,A,0.208,-7.059,0.272,172.50400000000005,0.708,False,0
Band of Gypsies - Edit,Cypress Hill,2018.0,0.00188,0.285,193062.0,0.914,B,0.466,-2.977,0.0695,84.682,0.354,False,0
Neden Bana Aşk Şarkısı Yazan Çıkmaz?,MFÖ,2017.0,0.758,0.711,190594.0,0.289,A,0.132,-8.432,0.0272,112.079,0.391,False,0
House of Night - Versucht - Teil 40,P.C. Cast,2011.0,0.52,0.619,320600.0,0.308,C,0.127,-15.774,0.971,175.641,0.392,False,0
Merisää (feat. Robert Färmy & Maria Jyrkäs),Tarkka-a,2016.0,0.377,0.725,272604.0,0.459,E,0.11,-10.597,0.335,150.037,0.124,False,0
FX Man,The Freshman7,2018.0,0.000128,0.8059999999999999,75938.0,0.996,A#/Bb,0.0228,-6.335,0.0648,128.018,0.6990000000000001,False,0
This Is How We Walk On The Moon,José González,2017.0,0.745,0.7979999999999999,306078.0,0.402,F#/Gb,0.147,-12.138,0.0731,113.965,0.218,False,0
All Mine,f(x),2016.0,0.176,0.585,203857.0,0.85,B,0.457,-3.625,0.068,127.974,0.648,False,0
Cheating on Me (feat. Zak Abel) (Tom Misch Refix) - Tom Misch refix,Kwabs,2015.0,0.135,0.531,283140.0,0.469,E,0.0996,-5.956,0.0466,180.013,0.101,False,0
Muss da durch,Udo Lindenberg,2016.0,0.331,0.5479999999999999,291507.0,0.6920000000000001,A,0.124,-5.013999999999999,0.0318,139.971,0.263,False,0
Ojos Vicheros,Quantic,2017.0,0.197,0.738,269053.0,0.745,C,0.183,-8.97,0.0515,94.017,0.81,False,0
With Everything,Skyhook,2013.0,0.000443,0.288,467500.0,0.745,B,0.157,-5.082,0.0393,147.911,0.0779,False,0
Xzit the Entrance,X'Sylum,2010.0,0.0442,0.607,191789.0,0.802,B,0.304,-4.584,0.101,95.004,0.642,False,0
Mondschein and der Eger,Ernst Mosch und seine Original Egerländer Musikanten,2017.0,0.954,0.349,154196.0,0.165,A#/Bb,0.425,-19.539,0.0343,167.386,0.67,False,0
Nostalgic - Eufeion Remix,S3RL,2017.0,0.00806,0.5710000000000001,234437.0,0.8290000000000001,C#/Db,0.106,-7.479,0.3229999999999999,174.9,0.505,False,0
Shoot ‘Em Down,MOD SUN,2015.0,0.301,0.6890000000000001,195118.0,0.904,E,0.22,-4.133,0.224,140.07399999999998,0.5660000000000001,False,0
Mafhungo a Vhathu,Ramzeey,2015.0,0.0271,0.519,201718.0,0.7040000000000001,C#/Db,0.332,-6.327000000000001,0.0564,110.872,0.616,False,0
Gjøre Det På Nytt,Klaus Perry,2018.0,0.358,0.731,180706.0,0.738,B,0.0685,-4.5760000000000005,0.363,170.209,0.882,False,0
Move Ahead,F.S.K.,2011.0,0.514,0.8109999999999999,164613.0,0.7390000000000001,F,0.0811,-6.195,0.039,149.336,0.961,False,0
Sorry Seems To Be The Hardest Word,Mary J. Blige,2018.0,0.198,0.662,195519.0,0.435,D,0.118,-8.965,0.113,122.101,0.166,False,0
"Symphony No. 9 in E Minor, B. 178 ""From the New World"": III. Scherzo (Molto vivace)",Antonín Dvořák,2018.0,0.95,0.348,461400.0,0.0771,E,0.102,-20.641,0.0394,132.076,0.204,False,0
Yksinäisyys,The Candy Kids,2017.0,0.6920000000000001,0.53,201960.0,0.722,G,0.526,-10.584,0.0305,140.461,0.961,False,0
Their War Here,Hans Zimmer,2016.0,0.456,0.124,276227.0,0.498,F,0.0445,-13.755999999999998,0.0701,80.031,0.0379,False,0
Take Me to the Top,ONE OK ROCK,2015.0,0.00109,0.186,195627.0,0.973,F,0.38,-3.6010000000000004,0.414,195.987,0.192,False,0
Oy Asiye,Yücel Öner,2011.0,0.479,0.669,217600.0,0.373,G,0.145,-13.033,0.0446,106.996,0.645,False,0
Back - CC:DISCO! Tropical Rub Edit,CC:DISCO!,2015.0,0.0311,0.809,339984.0,0.701,D,0.41,-8.9,0.0561,119.991,0.446,False,0
Pun Pariu Ca Ma Iubesti,Asu,2017.0,0.175,0.825,239203.0,0.784,D#/Eb,0.361,-5.948,0.114,145.034,0.97,False,0
Krasnoludki - wprowadzenie,Beata Tyszkiewicz,2015.0,0.871,0.458,36280.0,0.366,G,0.107,-24.149,0.235,140.99,0.288,False,0
Azrael,HVOB,2015.0,0.172,0.7959999999999999,454733.0,0.531,F,0.117,-11.259,0.0453,120.023,0.0358,False,0
Rani Baghak Nta,Nabila,2015.0,0.19,0.7509999999999999,378453.0,0.762,E,0.0754,-8.701,0.25,142.892,0.524,False,0
Kapitel 73 - Alea Aquarius 1. Der Ruf des Wassers,Tanya Stewner,2015.0,0.34,0.757,124720.0,0.158,G,0.176,-14.609000000000002,0.954,81.266,0.273,False,0
Yn Yr Ardd,Bryn Fôn,2010.0,0.507,0.644,251093.0,0.8,A,0.227,-6.029,0.0301,129.886,0.823,False,0
Por Tu Ausencia - Remasterizado,Paulo FG,2013.0,0.6779999999999999,0.539,336813.0,0.88,G,0.154,-5.239,0.0788,96.074,0.585,False,0
RAVE-O-LUTION 456,t+pazolite,2018.0,0.0017,0.399,297250.0,0.915,F#/Gb,0.237,-4.45,0.117,113.942,0.199,False,0
Psytribechoristes,Tao H,2017.0,0.0006129999999999,0.48,336010.0,0.8170000000000001,D,0.193,-8.83,0.0517,180.08700000000005,0.0713,False,0
C&K IX,C&K,2017.0,0.118,0.708,199080.0,0.927,F,0.0538,-4.073,0.0903,108.046,0.691,False,0
Kapitel 12 - Folge 1: Von Idioten umzingelt!,Gregs Tagebuch,2017.0,0.398,0.721,194551.0,0.491,C#/Db,0.346,-9.026,0.93,122.893,0.5529999999999999,False,0
Wenn Ich Jetzt Sterben Würde,Lukas Litt,2016.0,0.7909999999999999,0.743,182016.0,0.37,F,0.184,-12.441,0.0992,109.876,0.667,False,0
fk wit nobody (feat. punchnello),Kidd King,2018.0,0.807,0.838,244000.0,0.6579999999999999,C#/Db,0.0549,-5.355,0.0578,120.028,0.746,False,0
Kënga 6,Sabit Bilalli - Biti,2015.0,0.403,0.7709999999999999,178187.0,0.752,C,0.314,-6.138999999999999,0.0284,133.017,0.884,False,0
We Cut the Night,AaRON,2016.0,0.306,0.414,255453.0,0.866,C,0.107,-7.922999999999999,0.0787,113.978,0.233,False,0
Nights Like This (feat. Ayzia),Dflowetry,2017.0,0.48,0.551,162717.0,0.58,C#/Db,0.168,-9.368,0.434,78.262,0.385,False,0
Santa's Coming,3LW,2018.0,0.126,0.7490000000000001,228027.0,0.655,A,0.0454,-6.176,0.0413,97.99,0.376,False,0
Xezal (Hazal),Ceylan,2012.0,0.00371,0.6859999999999999,102632.0,0.976,D,0.285,-4.2,0.065,128.05200000000002,0.772,False,0
Wasteland (feat. The Qemists),Teddy Killerz,2017.0,0.00183,0.412,264846.0,0.967,F,0.278,-4.164,0.395,174.102,0.174,False,0
N'Drrase T'Vekut,"Ramadan ""Dani"" Krasniqi",2016.0,0.63,0.503,116000.0,0.79,A,0.154,-4.393,0.166,151.446,0.961,False,0
Hotline,Tvoya Qqha,2018.0,0.5489999999999999,0.856,137587.0,0.816,C#/Db,0.0705,-5.891,0.186,110.012,0.215,False,0
"RWE-Hymne, Wir stehn immer wieder auf",Ruhrschnellweg,2011.0,0.457,0.446,216268.0,0.675,B,0.1369999999999999,-6.297999999999999,0.027,159.96200000000005,0.664,False,0
I Need My Girl,Gnarly Gibbs,2016.0,0.0404,0.6679999999999999,222839.0,0.465,B,0.396,-12.916,0.0568,118.008,0.3229999999999999,False,0
Gi mig fri nu til middag,MD-Duo,2018.0,0.0886,0.887,146286.0,0.487,A,0.1639999999999999,-12.738,0.0537,104.942,0.669,False,0
Tallava (Potpuri),Gjyste vulaj,2018.0,0.131,0.7959999999999999,85973.0,0.7659999999999999,C#/Db,0.8140000000000001,-6.757999999999999,0.177,134.035,0.823,False,0
247 - DJ Katch Remix,Laruzo,2018.0,0.0116,0.858,200000.0,0.747,C#/Db,0.309,-4.122,0.144,99.037,0.6559999999999999,False,0
Where the Hood At - Re-Recorded,DMX,2011.0,0.0332,0.5710000000000001,293373.0,0.939,G,0.087,-4.339,0.268,186.027,0.816,False,0
Feel It Still - ZHU Remix,Portugal. The Man,2017.0,0.0354,0.852,214217.0,0.5670000000000001,F#/Gb,0.0539,-6.683,0.0913,113.986,0.19,False,0
Psychomoon - Teil 02,Die drei ???,2012.0,0.456,0.556,89600.0,0.6579999999999999,G#/Ab,0.312,-14.184,0.885,96.235,0.324,False,0
Hokus Pokus,Olexesh,2014.0,0.0423,0.555,252823.0,0.8009999999999999,C#/Db,0.291,-5.207000000000002,0.495,116.905,0.343,False,0
"Amo Lo Que Hago (feat. Musiko, Gabriel RodriguezEMC & Eliud L'voices)",Mikey A,2018.0,0.495,0.722,304000.0,0.743,C,0.111,-4.635,0.314,149.984,0.383,False,0
Mystery girl,Z.TAO,2016.0,0.33,0.7609999999999999,192440.0,0.588,G#/Ab,0.117,-5.772,0.0937,146.121,0.58,False,0
Dieu Fort Et Grand / Konfye'm Nan Dye / Chak Pa Mwen Fe (Medley),Roosevelt Jean-Noel,2013.0,0.856,0.394,437613.0,0.127,C,0.0801,-18.062,0.0374,122.839,0.262,False,0
01 - Rettet Azuro! - Teil 03,Kati & Azuro,2011.0,0.168,0.722,105200.0,0.327,C#/Db,0.5489999999999999,-16.012,0.943,58.158,0.687,False,0
Thunderstorm: Calm Storm,Thunderstorms HD,2017.0,4.8e-05,0.165,143221.0,0.984,C#/Db,0.6779999999999999,-13.693,0.0852,114.595,0.00997,False,0
Le coeur d'un héros (Le Souffle),L'homme Est Un Loup Pour L'homme,2018.0,0.862,0.221,111961.0,0.254,G,0.0698,-18.576,0.0609,158.03,0.0358,False,0
VT,Mr. P,2014.0,0.0339,0.72,564406.0,0.633,B,0.0956,-14.485,0.0785,117.032,0.2,False,0
Comme d'hab',Kacem Wapalek,2015.0,0.105,0.787,227561.0,0.475,G#/Ab,0.0547,-7.388,0.216,93.189,0.679,False,0
Izmir (Outro),Ismail Ali Turut,2010.0,0.522,0.672,39912.0,0.86,C#/Db,0.131,-7.664,0.0594,117.848,0.79,False,0
Wut,Feine Sahne Fischfilet,2015.0,0.157,0.484,225287.0,0.736,D,0.153,-5.596,0.0526,149.308,0.519,False,0
KishibeROhan ha Ugokanai Theme,Yugo Kanno,2018.0,0.317,0.261,52572.0,0.116,A,0.0624,-17.949,0.0336,90.16,0.172,False,0
On My Own,Lara Lebonne,2012.0,0.045,0.703,280660.0,0.502,F,0.0831,-10.661,0.0258,94.026,0.546,False,0
Clima di tensione,Sangue Misto,2018.0,0.106,0.8,244600.0,0.467,A#/Bb,0.0742,-12.788,0.194,94.076,0.6709999999999999,False,0
Landproll,Tilman Birr,2016.0,0.332,0.544,234680.0,0.4970000000000001,G,0.294,-8.118,0.0318,115.329,0.736,False,0
Dion Ysiusk,Yin Yin,2018.0,0.000605,0.5479999999999999,259176.0,0.584,G#/Ab,0.0769,-12.022,0.0264,88.251,0.589,False,0
Da 'Burbz,Spitty,2017.0,0.472,0.642,293289.0,0.74,B,0.0752,-7.401,0.622,159.965,0.433,False,0
Oinaru Chikara,Falcom Sound Team jdk,2013.0,0.387,0.281,353027.0,0.81,C,0.27,-6.132999999999999,0.0662,85.102,0.0604,False,0
Everything - Original Mix,Yinyues,2013.0,0.371,0.448,261192.0,0.424,A,0.0712,-9.885,0.0284,124.968,0.062,False,0
V'ezakeini / Vehi Sheamda,8th Day,2011.0,0.795,0.335,233953.0,0.44,C#/Db,0.1,-5.831,0.0295,137.218,0.293,False,0
つづくいのち,JYOCHO,2018.0,0.119,0.57,288853.0,0.75,E,0.112,-7.393,0.0295,123.996,0.413,False,0
Eorzea de Chocobo,Masayoshi Soken,2014.0,0.0993,0.546,153451.0,0.493,C,0.644,-11.911,0.0287,129.931,0.679,False,0
Kapitel 4,Oliver Wnuk,2011.0,0.319,0.626,305973.0,0.197,F,0.7,-16.232,0.966,81.378,0.425,False,0
Ya Soshla S Uma,Brockmaster B.,2010.0,0.105,0.484,246204.0,0.479,C#/Db,0.228,-19.821,0.364,179.97400000000005,0.7440000000000001,False,0
The Way You Look At Me,DFRNT,2013.0,0.0194,0.6579999999999999,251763.0,0.713,F,0.101,-11.305,0.0313,124.007,0.156,False,0
11 Moons,Matter,2017.0,0.000318,0.674,480000.0,0.66,C,0.203,-10.538,0.0409,121.998,0.473,False,0
Whatever Waits Above,Fzy,2016.0,0.352,0.643,253101.0,0.7809999999999999,D,0.104,-7.79,0.301,119.59,0.194,False,0
"OK, Go Away",SpaceMan Zack,2018.0,0.6659999999999999,0.698,133696.0,0.6409999999999999,B,0.125,-9.593,0.0698,129.996,0.227,False,0
Xhemile,Mc Qoppa,2014.0,0.309,0.738,223376.0,0.879,C#/Db,0.315,-3.457,0.106,94.028,0.878,False,0
Dar Eu Iubesc,Adriana Stoica,2016.0,0.731,0.7040000000000001,222000.0,0.7090000000000001,D,0.234,-5.396,0.0383,105.945,0.868,False,0
Eiskalt erwischt,Eisbrecher,2018.0,0.00014,0.5660000000000001,224560.0,0.944,D,0.099,-4.759,0.0419,139.985,0.731,False,0
(Your Eyes Are Like) Neon Signs (Live On Kzsu),Claire On a Dare,2012.0,0.176,0.234,185187.0,0.733,C,0.4320000000000001,-6.99,0.0404,82.881,0.141,False,0
Uzun İnce Yol,Koma Se Bıra,2016.0,0.8390000000000001,0.528,221520.0,0.357,A,0.114,-8.221,0.0308,108.978,0.423,False,0
YFF,Geaux Yella,2015.0,0.0205,0.873,109467.0,0.578,C,0.0986,-8.672,0.34,138.033,0.6809999999999999,False,0
Bénéfice,Kalash Criminel,2017.0,0.113,0.89,255053.0,0.693,A#/Bb,0.0759,-5.888999999999999,0.357,94.976,0.174,False,0
