track,artist,year,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,valence,charted,weeks-on-board
Biggie (feat. Junior M.A.F.I.A.) - 2005 Remaster,The Notorious B.I.G.,1999.0,0.144,0.532,322400.0,0.948,A#/Bb,0.245,-4.479,0.515,82.152,0.4370000000000001,False,0
承認,Winnie Hsin,1999.0,0.843,0.454,295133.0,0.431,G,0.211,-10.514,0.0344,97.294,0.128,False,0
Kapitel 16: Das Super-Kaninchen,Weihnachtsmann & Co.KG,1997.0,0.654,0.643,174467.0,0.715,C#/Db,0.105,-11.626,0.938,84.708,0.65,False,0
"Childhood (Theme from ""Free Willy 2"")",Michael Jackson,1995.0,0.799,0.175,267533.0,0.204,E,0.147,-11.414,0.0362,73.10600000000002,0.0795,False,0
Kapitel 8: Mission im Weltraum,Weihnachtsmann & Co.KG,1997.0,0.6409999999999999,0.579,167960.0,0.611,F,0.292,-10.762,0.883,62.87300000000001,0.759,False,0
Ze Mną Bądź,Toledo,1998.0,0.314,0.802,211653.0,0.923,F#/Gb,0.225,-7.7429999999999986,0.033,130.10299999999998,0.978,False,0
Kapitel 32: Cinderella,Disney - Cinderella,1997.0,0.898,0.636,91600.0,0.495,G,0.902,-14.243,0.937,132.34799999999998,0.591,False,0
Ds Lotti Schilet,Mani Matter,1996.0,0.807,0.737,126107.0,0.442,A#/Bb,0.923,-10.296,0.8590000000000001,77.208,0.883,False,0
Rhapsody Under A High Sky,Archibald James Potter,1996.0,0.97,0.157,578533.0,0.0514,C,0.19,-27.246,0.0412,106.41,0.0391,False,0
Ik Huil Om Jou,Ronnie van Bemmel,1997.0,0.212,0.43,172539.0,0.573,E,0.259,-6.492999999999999,0.0308,199.785,0.531,False,0
Üçlü Mey - Doğaçlama,Hasret Gültekin,1994.0,0.941,0.252,67756.0,0.438,C,0.174,-9.697,0.0415,169.653,0.455,False,0
Tusen grunner til ikke å ha sex i kveld,Tom Mathisen,1993.0,0.4,0.7959999999999999,163987.0,0.7120000000000001,A,0.148,-8.589,0.0776,134.00799999999998,0.932,False,0
Don Quixote: Act I: Quiteria's Variation,Ludwig Minkus,1995.0,0.787,0.331,49093.0,0.214,B,0.141,-19.287,0.0378,141.019,0.7,False,0
Trashin' The Camp,Phil Collins,1999.0,0.352,0.797,142080.0,0.5579999999999999,A,0.24,-10.449000000000002,0.292,99.033,0.799,False,0
Losing a Whole Year,Third Eye Blind,1997.0,3.37e-05,0.421,200640.0,0.848,E,0.0775,-6.3,0.0347,175.665,0.6579999999999999,False,0
Jackson Hole,C.W. McCall,1997.0,0.246,0.628,162400.0,0.677,C,0.256,-12.658,0.0326,120.743,0.967,False,0
Ulica,Aya RL,1991.0,0.354,0.7340000000000001,274067.0,0.42,E,0.255,-15.047,0.041,95.37,0.5920000000000001,False,0
"Good Bye My Love, Good Bye",G.G. Anderson,1994.0,0.418,0.322,239933.0,0.6,C#/Db,0.317,-8.429,0.031,180.11,0.403,False,0
Vrij Zijn,Marco Borsato,1995.0,0.0304,0.66,238427.0,0.682,E,0.225,-8.14,0.0429,129.089,0.66,False,0
Boogie Man,AC/DC,1995.0,0.0068,0.485,246973.0,0.603,A,0.227,-6.608,0.0594,111.756,0.468,False,0
Uzun Uzun Yollar,Göksel,1997.0,0.0617,0.525,223267.0,0.7240000000000001,B,0.0939,-8.663,0.094,169.951,0.517,False,0
Mos Trazo Plagen E Vejeter,Xhemil Saliu,1997.0,0.438,0.606,231497.0,0.754,C#/Db,0.144,-3.62,0.0356,157.981,0.91,False,0
Almost Always is Nearly Enough,Tortoise,1998.0,0.253,0.816,162093.0,0.5579999999999999,F#/Gb,0.287,-16.834,0.349,79.89699999999998,0.247,False,0
Saudade,CPB,1999.0,0.8170000000000001,0.342,168720.0,0.274,C#/Db,0.0945,-7.002000000000002,0.0269,83.762,0.337,False,0
Hardcore sur le Beat,Suprême NTM,1998.0,0.0553,0.667,281533.0,0.5670000000000001,E,0.382,-7.659,0.392,90.937,0.627,False,0
"Rag - Music for pianoforte ""To Arthur Bliss"", WV62/Partita WV63: 7. Tango",Erwin Schulhoff,1995.0,0.983,0.382,136840.0,0.0704,E,0.127,-23.202,0.0332,82.257,0.3,False,0
Zurück,Büdi Siebert,1999.0,0.985,0.526,141960.0,0.0229,C#/Db,0.104,-21.836,0.0654,110.705,0.189,False,0
On Stream,Nils Petter Molvær,1998.0,0.851,0.357,301027.0,0.0898,A#/Bb,0.11,-19.969,0.035,200.078,0.208,False,0
The Projects (PJays),Handsome Boy Modeling School,1999.0,0.0965,0.388,269067.0,0.733,G,0.0904,-8.231,0.297,168.047,0.86,False,0
Paraguay - Original,Jim Clarke,1996.0,0.0817,0.433,573933.0,0.619,F,0.117,-18.439,0.0514,140.039,0.189,False,0
SaloDanger mx part2,SmiL,1994.0,0.000994,0.357,170109.0,0.545,C,0.111,-14.636,0.062,149.935,0.063,False,0
Ostajem U Suzama,Vuco,1993.0,0.293,0.6709999999999999,218667.0,0.429,E,0.25,-12.25,0.0307,114.302,0.41,False,0
Lijepa Li Si,Thompson,1998.0,0.128,0.575,258467.0,0.644,G,0.277,-7.127000000000002,0.0345,108.151,0.171,False,0
Dacu Zlato Gatarama,Mirsada Cizmic,1999.0,0.0298,0.685,183907.0,0.873,F#/Gb,0.116,-5.768,0.103,186.026,0.956,False,0
How Will I Know (Who You Are),Jessica Folcker,1998.0,0.362,0.495,216440.0,0.72,F,0.0986,-6.716,0.0328,203.805,0.511,False,0
Nienawiść,Łzy,1998.0,0.00201,0.318,234227.0,0.642,C,0.116,-8.381,0.0303,191.602,0.6970000000000001,False,0
Ykän Kone,Bat & Ryyd,1998.0,0.0266,0.795,199533.0,0.975,D,0.351,-4.097,0.0391,131.972,0.8440000000000001,False,0
Polsk Zchlager,Skurkarna (utan Winnerbäck),1999.0,0.0088799999999999,0.397,253400.0,0.7240000000000001,G,0.8340000000000001,-8.05,0.0361,133.519,0.578,False,0
Twin Peaks - Club Vocal Mix,Agent Vyper,1996.0,0.0205,0.511,365333.0,0.637,C,0.249,-13.232,0.0289,137.946,0.29,False,0
"Le Divertissement Royal de Versailles, LWV 38: Bourrée du Divertissement de Chambord (1669)",Jean-Baptiste Lully,1999.0,0.7290000000000001,0.609,85560.0,0.341,C,0.0798,-16.241,0.0375,92.365,0.792,False,0
Asterix und Kleopatra - Teil 08,Asterix,1997.0,0.782,0.643,86967.0,0.5920000000000001,A#/Bb,0.351,-11.709,0.835,91.536,0.7829999999999999,False,0
Say vle vwe nou,Aksidan,1999.0,0.43,0.8290000000000001,272600.0,0.784,G,0.0615,-10.284,0.109,111.938,0.7879999999999999,False,0
Ti Tou Les Ke Ti Sou Lei - Live,Notis Sfakianakis,1999.0,0.208,0.397,255173.0,0.53,F,0.459,-10.647,0.0323,152.131,0.333,False,0
Being Boring - 2001 Remaster,Pet Shop Boys,1990.0,0.0689,0.634,410173.0,0.799,G#/Ab,0.313,-9.541,0.0398,119.776,0.27,False,0
The Beast - includes Chinese restaurant skit,Fugees,1996.0,0.4270000000000001,0.539,337200.0,0.486,G,0.4970000000000001,-15.236,0.7509999999999999,78.87100000000002,0.735,False,0
Kapitel 07: Arielle die Meerjungfrau,Disney - Arielle die Meerjungfrau,1997.0,0.659,0.6559999999999999,63573.0,0.528,A,0.332,-11.69,0.77,108.05,0.906,False,0
Kad ljubavi dodje kraj,Šaban Šaulić,1993.0,0.418,0.29,254347.0,0.498,G,0.3229999999999999,-11.686,0.0406,119.701,0.531,False,0
When the Heartache Is Over,Tina Turner,1999.0,0.00622,0.688,224493.0,0.772,F,0.073,-6.276,0.0291,114.975,0.43,False,0
Rhythm & Drums - The Hitmen Rework Edit,general base,1995.0,0.00278,0.6890000000000001,188571.0,0.991,G,0.228,-4.4460000000000015,0.0888,140.023,0.476,False,0
Guys and Dolls,Walter Bobbie,1992.0,0.86,0.8,178227.0,0.299,G,0.545,-15.592,0.0888,122.196,0.815,False,0
Nu Te Mai Iubesc,3 Sud Est,1998.0,0.0687,0.6829999999999999,206613.0,0.959,C,0.209,-4.88,0.0354,135.015,0.7709999999999999,False,0
"Piano Concerto No.2 in F minor, Op.21: 1. Maestoso",Frédéric Chopin,1992.0,0.984,0.325,882000.0,0.159,F,0.362,-19.006,0.0351,115.333,0.079,False,0
Ný batterí,Sigur Rós,1999.0,0.0746,0.128,490707.0,0.375,B,0.151,-10.925999999999998,0.0429,166.38299999999995,0.0435,False,0
Avinu Malkeynu Z'chor Rachamecha,Kim Komrad,1999.0,0.977,0.332,383960.0,0.162,A,0.0933,-12.819,0.0431,143.766,0.101,False,0
The Only Thing That Looks Good On Me Is You - MTV Unplugged Version,Bryan Adams,1997.0,0.028,0.5870000000000001,274227.0,0.949,G,0.921,-6.082000000000002,0.037,121.78,0.653,False,0
Kapitel 07 - Der Pferdegeburtstag (Folge 027),Bibi und Tina,1996.0,0.7190000000000001,0.6890000000000001,91563.0,0.393,C#/Db,0.34,-13.744000000000002,0.763,87.816,0.752,False,0
El Olotito,Banda Sinaloense MM,1997.0,0.154,0.655,168333.0,0.484,G#/Ab,0.274,-13.386,0.128,61.8,0.968,False,0
Chknagh Im Hayreniq,Artur Stepanyan,1998.0,0.205,0.6679999999999999,259228.0,0.632,D,0.0798,-10.395,0.0319,92.368,0.848,False,0
"Die Zauberflöte / Act 1: ""Hm! hm! hm! hm!""",Wolfgang Amadeus Mozart,1991.0,0.969,0.429,387200.0,0.133,A#/Bb,0.15,-22.219,0.075,99.408,0.239,False,0
Like Zsa Zsa Zsa Gabor,Erasure,1999.0,0.236,0.748,239427.0,0.833,F,0.0853,-7.947999999999999,0.0697,100.17,0.95,False,0
La Cucamarcha - Extended Club Mix,TNN,1993.0,0.011,0.926,313400.0,0.71,E,0.114,-17.427,0.161,137.09799999999998,0.76,False,0
Spiral Mountain,PPF,1998.0,0.512,0.736,190909.0,0.6679999999999999,C,0.181,-7.775,0.0365,109.975,0.911,False,0
Zpívam Ti Moravo,Dolanka,1998.0,0.941,0.21,217320.0,0.247,G#/Ab,0.102,-15.332,0.0369,180.08900000000003,0.5820000000000001,False,0
"Piano Concerto No.1 In G Minor, Op.25, MWV O7: 1. Molto allegro con fuoco",Felix Mendelssohn,1996.0,0.962,0.256,440333.0,0.245,G,0.239,-16.160999999999998,0.0331,73.274,0.0881,False,0
Ansacht Na nAnsacht,Aoife Ni Fhearraigh,1996.0,0.414,0.527,241360.0,0.334,A#/Bb,0.138,-11.859000000000002,0.0281,102.325,0.286,False,0
I Choose,The Offspring,1997.0,0.141,0.539,234667.0,0.957,D,0.396,-3.207,0.103,120.481,0.477,False,0
Seasons,Life Of Agony,1995.0,0.00121,0.278,338040.0,0.8320000000000001,F,0.332,-7.105,0.0569,167.435,0.429,False,0
Win/Place/Show Chocobo!,Nobuo Uematsu,1997.0,0.731,0.664,110493.0,0.604,G,0.185,-12.272,0.0375,122.241,0.8320000000000001,False,0
36-22-36,ZZ Top,1999.0,0.0449,0.562,154645.0,0.952,A#/Bb,0.356,-7.182,0.0515,96.061,0.677,False,0
Fred Come to Bed,E-Rotic,1995.0,0.0924,0.5579999999999999,238227.0,0.99,E,0.324,-5.56,0.0591,143.886,0.735,False,0
Qhando Quando Quando,John Skinner Band,1999.0,0.628,0.7070000000000001,157362.0,0.5710000000000001,G,0.142,-9.689,0.182,114.715,0.878,False,0
"Concert champêtre, FP 49: I. Allegro molto. Adagio. Allegro molto",Francis Poulenc,1999.0,0.557,0.433,616507.0,0.0912,E,0.0669,-26.419,0.0573,71.71,0.14,False,0
Kapitel 14 - Der Pferdetausch (Folge 037),Bibi und Tina,1999.0,0.655,0.685,91230.0,0.585,A,0.789,-14.53,0.862,139.671,0.677,False,0
Q.Q. Dance,U.T. Gandhi,1997.0,0.115,0.209,245120.0,0.157,D#/Eb,0.151,-19.877,0.0352,93.647,0.0354,False,0
TAKE ME BACK TO TOKYO,MEGA NRG MAN,1999.0,0.00614,0.544,303733.0,0.961,G,0.218,-4.51,0.047,155.106,0.88,False,0
There's Nothing I Won't Do - Original Edit,JX,1996.0,0.00096,0.614,270333.0,0.972,D,0.108,-7.559,0.04,134.619,0.698,False,0
Kapitel 23 - Das Zirkuspony (Folge 004),Bibi und Tina,1991.0,0.647,0.727,101910.0,0.5760000000000001,C#/Db,0.426,-15.637,0.951,81.025,0.283,False,0
Roja Roja,A.R. Rahman,1999.0,0.0265,0.618,347784.0,0.662,D,0.148,-12.14,0.0369,89.992,0.488,False,0
Four Duets Wq 115: Poco Adagio,Carl Philipp Emanuel Bach,1996.0,0.804,0.423,221840.0,0.029,C,0.112,-43.929,0.0292,105.44,0.4,False,0
Ching A Ling,Missy Elliott,1998.0,0.0343,0.76,219027.0,0.64,F#/Gb,0.255,-8.158999999999999,0.226,102.386,0.438,False,0
Siubhan Ni Dhuibhir,Michael Henry,1997.0,0.975,0.311,170200.0,0.215,G,0.0824,-13.219,0.0354,83.679,0.375,False,0
How Great Thou Art,Grimethorpe Colliery Band,1995.0,0.982,0.136,212867.0,0.11,C#/Db,0.0535,-19.522,0.0369,75.298,0.0784,False,0
Locked Up - Remix,Nekita,1998.0,0.261,0.7120000000000001,182493.0,0.405,G,0.278,-14.09,0.144,92.176,0.616,False,0
"Medley De Fermeture (Live) [Tomber, Aux Portes Du Matin, C'est Un Mur, Quand Le Jour Se Lève, Voilà C'que Nous Voulons]",Paul Piché,1994.0,0.316,0.359,739373.0,0.807,G,0.7070000000000001,-6.723,0.0651,114.849,0.361,False,0
El Manicero,Oscar D'León,1996.0,0.7859999999999999,0.742,282982.0,0.7929999999999999,G,0.733,-7.143,0.0464,112.794,0.947,False,0
Ojalá!,Kassav',1998.0,0.107,0.7759999999999999,238960.0,0.912,G,0.052,-6.71,0.0433,118.251,0.961,False,0
Ta Smirneika Tragoudia - Live,George Dalaras,1998.0,0.247,0.28,229960.0,0.448,C,0.888,-8.287,0.0388,81.098,0.326,False,0
Forever One,Yngwie Malmsteen,1994.0,0.098,0.52,275373.0,0.586,G#/Ab,0.227,-7.982,0.031,119.525,0.286,False,0
107 - Lösegeld für einen Irrtum - Teil 08,TKKG,1998.0,0.846,0.521,91560.0,0.512,G#/Ab,0.5589999999999999,-13.582,0.893,83.52,0.772,False,0
Comedy,Shack,1999.0,0.278,0.394,327253.0,0.6579999999999999,G,0.124,-8.351,0.0371,116.847,0.403,False,0
Liquid Swords - Instrumental,GZA,1995.0,0.00649,0.919,207377.0,0.611,E,0.122,-9.425,0.146,88.995,0.124,False,0
Open Sesame - Radio Edit,Leila K,1999.0,0.000657,0.76,233240.0,0.87,F#/Gb,0.0855,-7.974,0.125,145.952,0.8590000000000001,False,0
Carry The Weight,Xzibit,1996.0,0.205,0.5529999999999999,253000.0,0.48,A#/Bb,0.14,-10.979,0.491,91.331,0.561,False,0
Chacun fait (c'qui lui plaît) - Live Version,Les Enfoirés,1999.0,0.175,0.7040000000000001,248200.0,0.924,D,0.983,-7.095,0.0818,114.732,0.6829999999999999,False,0
Axel F,Nile Rodgers,1994.0,0.0498,0.6990000000000001,177200.0,0.901,C#/Db,0.182,-7.365,0.037,120.027,0.8490000000000001,False,0
Tua Graça Me Basta,J Neto,1997.0,0.445,0.6579999999999999,228310.0,0.473,D,0.111,-17.267,0.0412,127.051,0.725,False,0
Ohwææææh!!,D.D.E.,1999.0,0.0656,0.609,264480.0,0.8059999999999999,A,0.5589999999999999,-6.877999999999999,0.0281,136.064,0.728,False,0
"Die tote Stadt, Op. 12, Act I: Frank! Freund!",Erich Wolfgang Korngold,1997.0,0.968,0.204,478827.0,0.1639999999999999,C#/Db,0.452,-20.894,0.0585,76.152,0.112,False,0
W.F.L.,Happy Mondays,1999.0,0.00166,0.733,371800.0,0.7120000000000001,A#/Bb,0.0887,-7.398,0.07,101.872,0.38,False,0
Kapitel 18: Rudolph ist verschwunden,Weihnachtsmann & Co.KG,1997.0,0.61,0.604,171600.0,0.693,C,0.409,-12.113,0.711,95.797,0.505,False,0
"E Draga, Draga",Zdravko Colic,1990.0,0.324,0.865,273311.0,0.281,C,0.0472,-15.618,0.0381,104.555,0.629,False,0
101 - Opfer fliegen 1. Klasse - Teil 30,TKKG,1997.0,0.662,0.629,87093.0,0.628,D,0.659,-10.021,0.674,128.25,0.7829999999999999,False,0
J.C.,Mecano,1991.0,0.315,0.769,262080.0,0.818,D,0.128,-8.176,0.0297,120.96,0.914,False,0
"Alceste, LWV 50: Rondeau pour la Fête Marine (1674)",Jean-Baptiste Lully,1999.0,0.6990000000000001,0.265,150467.0,0.116,G,0.19,-21.134,0.0426,116.549,0.187,False,0
Back in my Life - DJ Jam X & Dumonde RMX,Alice DJ,1999.0,8.55e-05,0.573,432760.0,0.935,G#/Ab,0.0949,-7.9289999999999985,0.0452,139.991,0.364,False,0
Kapitel 6: Fliegen müsste man können,Weihnachtsmann & Co.KG,1997.0,0.586,0.762,100280.0,0.7559999999999999,C,0.89,-10.089,0.941,81.389,0.768,False,0
Jook Joint Reprise - Let The Good Times Roll,Quincy Jones,1995.0,0.551,0.526,56000.0,0.519,D#/Eb,0.159,-9.327,0.131,107.743,0.4920000000000001,False,0
Handel : Concerto grosso in F major Op.3 No.4a : II Andante,George Frideric Handel,1990.0,0.973,0.356,131480.0,0.0828,E,0.107,-19.06900000000001,0.0372,104.302,0.375,False,0
Hungriges Herz,G.G. Anderson,1993.0,0.526,0.52,246400.0,0.612,D,0.287,-9.496,0.0254,89.421,0.691,False,0
Martı,Ezginin Günlügü,1994.0,0.61,0.648,264000.0,0.525,G,0.0579,-12.831,0.0366,91.969,0.866,False,0
Mobali Na Ngai Wana,Mbilia Bel,1994.0,0.252,0.7979999999999999,652867.0,0.885,C,0.0675,-4.593,0.0464,127.722,0.923,False,0
Cailín na Gruaige Baine,Traditional,1998.0,0.912,0.163,290760.0,0.153,G,0.0765,-17.35,0.039,82.443,0.0623,False,0
"Cello Concerto In B Minor, Op.104, B. 191: 3. Finale (Allegro moderato)",Antonín Dvořák,1995.0,0.931,0.138,778000.0,0.0862,G,0.0709,-21.026,0.0378,83.486,0.0684,False,0
Kapitel 23: Der König der Löwen,Disney - Der König der Löwen,1997.0,0.652,0.513,90827.0,0.396,D,0.732,-17.262,0.584,75.318,0.449,False,0
What The Blood Clot,Method Man,1994.0,0.655,0.746,204933.0,0.6629999999999999,F#/Gb,0.318,-10.114,0.193,90.059,0.8740000000000001,False,0
Push The Feeling On - Mk Mix 95,Nightcrawlers,1995.0,0.00258,0.818,425267.0,0.499,B,0.156,-12.864,0.0487,123.032,0.486,False,0
Can't Turn Back The Years - 2015 Remastered,Phil Collins,1993.0,0.476,0.648,280507.0,0.194,F,0.09,-13.318,0.037,173.231,0.304,False,0
Ekelpack - Live,Die Ärzte,1999.0,0.0892,0.242,121000.0,0.963,A,0.841,-3.409,0.14,87.787,0.223,False,0
Cait Sith's Theme,Nobuo Uematsu,1997.0,0.361,0.617,214333.0,0.453,C,0.064,-13.91,0.0343,125.281,0.608,False,0
DCx3,Grinspoon,1998.0,1.97e-06,0.464,175400.0,0.89,D,0.0677,-6.537000000000001,0.0338,81.706,0.7090000000000001,False,0
Vzpomínka,Soubor osady Údolí děsu,1993.0,0.645,0.6679999999999999,236560.0,0.501,G,0.0566,-12.652,0.0355,108.668,0.962,False,0
Der Weihnachtsmann und sein Geheimnis - Teil 11,Weihnachtsmann & Co.KG,1997.0,0.5589999999999999,0.7440000000000001,90527.0,0.843,C#/Db,0.479,-9.733,0.7709999999999999,63.08,0.619,False,0
"Chamber Concerto in D Major, RV 93: II. Largo",Antonio Vivaldi,1993.0,0.979,0.327,249307.0,0.0193,D,0.131,-29.775,0.037,71.586,0.252,False,0
"Sebastian weißt nicht, was er will - Teil 14",Weihnachtsmann & Co.KG,1997.0,0.5489999999999999,0.669,91440.0,0.606,G,0.1639999999999999,-9.243,0.34,85.993,0.539,False,0
Tefl Zghir,Azar Habib,1994.0,0.585,0.828,261947.0,0.634,F,0.172,-12.563,0.0782,125.083,0.821,False,0
L'uccellino della comare,Sandra e Massimo,1998.0,0.446,0.779,150760.0,0.596,C,0.454,-8.667,0.0555,97.267,0.862,False,0
November Rain - Live In Japan / 1992,Guns N' Roses,1999.0,0.0272,0.148,749533.0,0.769,B,0.985,-5.187,0.0464,75.459,0.108,False,0
Prokleti zlatnici,Lepa Brena,1996.0,0.56,0.726,217107.0,0.5479999999999999,C,0.343,-11.736,0.0309,122.655,0.93,False,0
Soul For Real,Candy Rain,1998.0,0.00281,0.7170000000000001,205061.0,0.6809999999999999,C,0.268,-7.487,0.0491,97.019,0.737,False,0
Lily Was Here (feat. Candy Dulfer) - DNA Remix,Dave Stewart,1990.0,0.0343,0.605,267160.0,0.695,E,0.0856,-14.527,0.0383,107.973,0.55,False,0
Jazz It Up,CFM Band,1993.0,0.0242,0.674,368507.0,0.416,F#/Gb,0.0942,-14.42,0.211,206.606,0.792,False,0
"Piano Concerto No.3 In C Minor, Op.37: 2. Largo - Live",Ludwig van Beethoven,1993.0,0.984,0.181,707667.0,0.0221,E,0.107,-28.746,0.0458,80.483,0.0375,False,0
Fy fy skamme skamme - 1987 Remastered Version,Tom & Jess,1996.0,0.0264,0.845,165267.0,0.551,D,0.0996,-17.9,0.0794,132.952,0.967,False,0
Nur zu dir - Remastered 2002,Pur,1995.0,0.0016699999999999,0.551,252240.0,0.792,G,0.363,-6.4860000000000015,0.0349,92.1,0.424,False,0
