track,artist,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
Carlene,Phil Vassar,0.587,0.88,E,-5.725,0.0324,0.0784,0.182,0.778,129.222,246240,2000,20,True
Someday,Sugar Ray,0.743,0.67,C#/Db,-4.547,0.0293,0.0108,0.22,0.934,110.832,243333,2000,32,True
7 Days,Craig David,0.659,0.812,E,-7.499,0.0487,0.23,0.0951,0.888,83.013,235133,2002,20,True
Rock Your Body,Justin Timberlake,0.891,0.714,E,-6.055,0.14,0.202,0.0521,0.818,100.972,267267,2003,22,True
Bed,J. Holiday,0.684,0.606,F,-7.268,0.0504,0.17,0.058,0.723,127.901,275107,2008,23,True
Scars,Papa Roach,0.471,0.936,B,-3.354,0.0448,0.0783,0.171,0.45,89.881,208186,2005,38,True
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,0.781,0.746,G#/Ab,-2.686,0.17,0.364,0.098,0.786,89.43,229800,2002,27,True
Sound Of Madness,Shinedown,0.328,0.939,D,-1.654,0.0423,4.93e-05,0.337,0.329,185.971,233987,2009,9,True
Here I Am,Rick Ross Featuring Nelly & Avery Storm,0.746,0.717,A#/Bb,-5.788,0.127,0.189,0.0704,0.475,109.753,209547,2008,14,True
Crush,David Archuleta,0.57,0.664,C,-4.718,0.0322,0.00836,0.0719,0.487,162.084,213520,2009,23,True
Some Beach,Blake Shelton,0.787,0.765,C,-6.331,0.0265,0.231,0.323,0.964,115.979,204827,2005,20,True
When You Lie Next To Me,Kellie Coffey,0.312,0.404,F,-10.014,0.0293,0.184,0.306,0.115,138.425,239827,2002,18,True
"1, 2, 3, 4",Plain White T's,0.458,0.55,D,-7.092,0.0262,0.566,0.108,0.56,90.56,198360,2009,20,True
Used To Love U,John Legend,0.661,0.796,G,-4.776,0.0833,0.0347,0.396,0.657,87.982,210867,2004,13,True
Rush,Aly & AJ,0.548,0.815,D,-5.218,0.0409,0.0175,0.127,0.212,129.963,191733,2006,11,True
I Remember,Keyshia Cole,0.422,0.736,F,-4.426,0.049,0.203,0.102,0.303,129.278,260093,2008,20,True
We Made It,Busta Rhymes Featuring Linkin Park,0.62,0.746,B,-6.006,0.0552,0.424,0.0684,0.191,138.454,238067,2008,1,True
Almost Home,Craig Morgan,0.525,0.481,G#/Ab,-6.715,0.0251,0.302,0.121,0.237,75.974,289000,2003,14,True
Who Let The Dogs Out,Baha Men,0.869,0.887,C,-4.505,0.0993,0.0605,0.148,0.784,129.221,198400,2000,20,True
Ordinary People,John Legend,0.469,0.132,A#/Bb,-14.001,0.0807,0.929,0.0873,0.36,67.011,281467,2005,20,True
Living In Fast Forward,Kenny Chesney,0.689,0.907,A,-5.587,0.037,0.0254,0.138,0.912,116.968,211893,2006,17,True
How Far,Martina McBride,0.473,0.59,F#/Gb,-5.373,0.0298,0.359,0.101,0.334,140.191,235307,2004,8,True
5 Star,Yo Gotti,0.715,0.809,A,-5.598,0.205,0.0607,0.352,0.636,76.493,247440,2009,2,True
Life Ain't Always Beautiful,Gary Allan,0.481,0.508,D,-7.666,0.0248,0.216,0.105,0.268,86.013,224613,2006,16,True
Kiss A Girl,Keith Urban,0.653,0.786,D,-5.418,0.0338,0.0103,0.201,0.477,120.992,226733,2009,20,True
Another Postcard (Chimps),Barenaked Ladies,0.621,0.747,C#/Db,-6.552,0.0782,0.00227,0.0449,0.726,172.31,205267,2004,15,True
As Good As I Once Was,Toby Keith,0.68,0.87,F,-4.461,0.0393,0.266,0.109,0.646,119.075,227840,2005,20,True
Headsprung,LL Cool J,0.718,0.786,C,-5.76,0.0284,0.0114,0.0745,0.465,99.916,267320,2004,20,True
L.A. Song,Beth Hart,0.351,0.615,G,-7.621,0.0451,0.206,0.985,0.337,127.798,271107,2000,12,True
Chicks Dig It,Chris Cagle,0.596,0.921,G,-4.987,0.0504,0.0221,0.303,0.703,104.024,210560,2004,15,True
What's Left Of Me,Nick Lachey,0.421,0.728,G,-5.644,0.035,0.136,0.136,0.311,150.12,244667,2006,25,True
I Learned From The Best,Whitney Houston,0.609,0.563,F,-6.284,0.0328,0.0109,0.156,0.306,148.949,259533,2000,11,True
Broken,Seether Featuring Amy Lee,0.448,0.61,D#/Eb,-2.695,0.0342,0.0102,0.135,0.214,123.762,258333,2005,21,True
I'd Do Anything,Simple Plan,0.395,0.917,G#/Ab,-6.86,0.133,0.00143,0.261,0.563,169.088,197640,2003,12,True
Step Daddy,Hitman Sammy Sam,0.93,0.773,C#/Db,-5.98,0.0457,0.00609,0.0767,0.348,118.997,230493,2003,3,True
I Miss You,Blink-182,0.664,0.781,B,-6.547,0.0339,0.00103,0.0867,0.593,110.0,227240,2004,20,True
The Saints Are Coming,U2 & Green Day,0.315,0.81,E,-7.026,0.0468,0.0781,0.152,0.118,152.116,201907,2007,9,True
Beautiful,Christina Aguilera,0.457,0.573,F,-3.866,0.0275,0.578,0.114,0.0992,76.193,238560,2003,27,True
Shadow Of The Day,Linkin Park,0.534,0.393,B,-7.813,0.0292,0.00479,0.107,0.0641,110.007,290360,2008,22,True
99.9% Sure (I've Never Been Here Before),Brian McComas,0.606,0.959,G,-3.412,0.0522,0.0714,0.236,0.734,116.014,193293,2003,11,True
Some People Change,Montgomery Gentry,0.55,0.61,D,-6.358,0.0388,0.0456,0.11,0.357,168.186,201867,2007,13,True
Right Where You Want Me,Jesse McCartney,0.72,0.548,E,-4.805,0.0291,0.00269,0.0511,0.709,99.004,211693,2006,9,True
Baby It's You,JoJo Featuring Bow Wow,0.858,0.607,C#/Db,-4.199,0.118,0.0169,0.0777,0.821,119.986,188293,2005,18,True
Help Pour Out The Rain (Lacey's Song),Buddy Jewell,0.565,0.562,C,-7.43,0.0339,0.263,0.0994,0.652,75.035,229093,2003,20,True
Ever The Same,Rob Thomas,0.435,0.729,C#/Db,-4.818,0.0307,0.0152,0.11,0.524,188.017,256600,2006,20,True
Suffocate,J. Holiday,0.458,0.445,A,-8.391,0.361,0.64,0.118,0.447,82.82,220053,2008,24,True
If Nobody Believed In You,Joe Nichols,0.679,0.316,F#/Gb,-11.327,0.031,0.625,0.109,0.273,127.968,235067,2004,14,True
Are You Gonna Be My Girl,Jet,0.613,0.953,D,-3.435,0.0855,0.00148,0.152,0.537,105.046,213800,2004,25,True
One Thing,Finger Eleven,0.588,0.555,C#/Db,-9.401,0.0334,0.447,0.0806,0.445,151.991,279573,2005,29,True
You Know What It Is,T.I. Featuring Wyclef Jean,0.657,0.853,C#/Db,-4.757,0.252,0.17,0.0956,0.746,173.066,287133,2007,18,True
AM To PM,Christina Milian,0.872,0.86,C,-3.488,0.131,0.158,0.833,0.855,104.956,233587,2002,20,True
The Fear,Lily Allen,0.661,0.847,A#/Bb,-6.948,0.0404,0.419,0.107,0.522,134.002,207120,2009,10,True
Come A Little Closer,Dierks Bentley,0.585,0.577,F,-5.752,0.0228,0.0587,0.102,0.335,80.02,282720,2006,20,True
Soul Sista,Bilal,0.598,0.412,B,-9.838,0.14,0.815,0.114,0.431,146.039,339847,2001,14,True
I Wanna Be With You,Mandy Moore,0.515,0.908,G#/Ab,-4.632,0.0368,0.0158,0.412,0.637,150.031,252600,2000,17,True
One More Time,Daft Punk,0.611,0.697,D,-8.618,0.133,0.0193,0.332,0.476,122.752,320357,2001,16,True
I'm Like A Bird,Nelly Furtado,0.622,0.608,A#/Bb,-5.085,0.036,0.138,0.273,0.607,89.661,243160,2001,24,True
Girls Lie Too,Terri Clark,0.499,0.883,E,-4.742,0.0451,0.0689,0.163,0.533,138.801,214200,2004,15,True
Runaway,NB Ridaz Featuring Angelina,0.718,0.671,B,-7.517,0.113,0.377,0.114,0.552,170.012,240133,2002,4,True
"Tricky, Tricky",Lou Bega,0.858,0.947,C,-3.557,0.235,0.125,0.0367,0.967,151.037,203133,2000,3,True
Number One,R. Kelly Featuring Keri Hilson,0.65,0.813,C,-4.673,0.112,0.228,0.18,0.576,136.796,260867,2009,11,True
Get No Better,Cassidy Featuring Mashonda,0.717,0.597,D,-7.83,0.189,0.292,0.128,0.566,95.018,234853,2004,12,True
No More Drama,Mary J. Blige,0.623,0.828,F#/Gb,-6.265,0.212,0.509,0.0946,0.592,97.926,248320,2002,20,True
Broken,Lifehouse,0.534,0.708,B,-5.732,0.0402,0.089,0.192,0.488,130.639,286480,2009,15,True
I Get Money,50 Cent,0.525,0.933,A,-4.673,0.356,0.159,0.311,0.457,122.631,223720,2007,14,True
Mr. Carter,Lil Wayne Featuring Jay-Z,0.486,0.71,G,-6.287,0.363,0.0445,0.35,0.472,170.86,316267,2008,17,True
What Kinda Gone,Chris Cagle,0.494,0.861,F,-5.236,0.0365,0.257,0.103,0.668,172.052,181613,2008,20,True
Why I Love You,B2K,0.698,0.618,C,-5.83,0.0282,0.0482,0.116,0.37,89.981,240640,2002,4,True
I Look To You,Whitney Houston,0.55,0.373,E,-6.31,0.0286,0.717,0.096,0.101,101.84,265613,2009,6,True
Never Scared,Bone Crusher Featuring Killer Mike & T.I.,0.586,0.927,B,-4.077,0.194,0.00924,0.344,0.528,73.023,316133,2003,20,True
My Band,D12,0.848,0.854,F#/Gb,-3.305,0.0845,0.47,0.106,0.876,120.024,298773,2004,18,True
Girls Around The World,Lloyd Featuring Lil Wayne,0.727,0.83,G,-8.699,0.125,0.0286,0.145,0.59,97.602,229800,2008,14,True
Hush Hush,The Pussycat Dolls Featuring Nicole Scherzinger,0.613,0.778,A#/Bb,-3.933,0.0689,0.0985,0.356,0.626,129.483,252093,2009,9,True
G'd Up,Snoop Dogg Presents Tha Eastsidaz,0.908,0.763,C#/Db,-5.739,0.28,0.0395,0.0646,0.593,97.106,273467,2000,14,True
Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,0.646,0.6,A,-6.569,0.458,0.231,0.0794,0.811,192.082,223973,2003,23,True
Nude,Radiohead,0.537,0.342,E,-9.785,0.0338,0.833,0.0856,0.156,128.331,255387,2008,1,True
Heaven,Los Lonely Boys,0.664,0.862,F#/Gb,-5.403,0.0679,0.378,0.0824,0.782,91.91,227347,2004,30,True
I Want You,Janet Jackson,0.643,0.843,D#/Eb,-5.533,0.0384,0.172,0.122,0.666,105.744,252800,2004,10,True
Steam,Ty Herndon,0.676,0.738,F#/Gb,-6.693,0.0262,0.0497,0.0784,0.697,101.944,216693,2000,12,True
Right Thurr,Chingy,0.866,0.749,D,-3.977,0.253,0.15,0.0614,0.891,92.074,250747,2003,33,True
Why Can't I?,Liz Phair,0.487,0.759,B,-4.849,0.0405,0.0273,0.165,0.227,80.958,208360,2004,20,True
Here We Go Again,Demi Lovato,0.585,0.927,F,-5.253,0.04,0.00432,0.178,0.672,142.043,226253,2009,9,True
Goodbye,Jagged Edge,0.821,0.727,F#/Gb,-6.262,0.105,0.134,0.0532,0.971,130.0,273020,2002,15,True
Too Bad,Nickelback,0.598,0.808,A#/Bb,-5.209,0.0388,0.00304,0.147,0.288,128.025,232240,2002,20,True
Take You There,Sean Kingston,0.752,0.921,F,-4.321,0.0696,0.0182,0.256,0.634,115.033,236693,2008,25,True
Feels Just Like It Should,Pat Green,0.658,0.742,C#/Db,-3.511,0.0319,0.39,0.125,0.698,123.316,227027,2006,3,True
Sexual (Li Da Di),Amber,0.623,0.898,E,-6.604,0.0309,0.000192,0.138,0.786,130.993,226227,2000,29,True
Tequila Makes Her Clothes Fall Off,Joe Nichols,0.664,0.706,D,-7.045,0.027,0.129,0.0857,0.681,93.968,187053,2006,19,True
Again,Faith Evans,0.489,0.763,G,-6.077,0.24,0.0158,0.42,0.362,173.822,198787,2005,14,True
Underneath It All,No Doubt Featuring Lady Saw,0.729,0.731,E,-4.823,0.0682,0.235,0.391,0.838,138.204,302720,2003,30,True
The Boss,Rick Ross Featuring T-Pain,0.431,0.842,G,-4.072,0.357,0.00876,0.309,0.61,83.66,225653,2008,20,True
Days Go By,Dirty Vegas,0.786,0.853,A,-8.274,0.0688,0.0499,0.35,0.309,126.99,432147,2002,20,True
Green Light,John Legend Featuring Andre 3000,0.622,0.882,A,-5.59,0.119,0.0912,0.216,0.762,77.506,284187,2009,26,True
I Need To Know,Marc Anthony,0.813,0.949,D#/Eb,-2.563,0.0336,0.486,0.112,0.792,115.061,227707,2000,40,True
Because Of You,Ne-Yo,0.81,0.538,C,-5.784,0.0356,0.528,0.0951,0.828,109.97,266840,2007,20,True
Drive (For Daddy Gene),Alan Jackson,0.709,0.61,B,-7.206,0.0434,0.317,0.102,0.475,125.189,242067,2002,20,True
Watching Airplanes,Gary Allan,0.374,0.711,B,-3.587,0.0354,0.547,0.147,0.468,160.001,242947,2008,20,True
"Swing, Swing",The All-American Rejects,0.553,0.717,G,-5.857,0.0318,6.48e-05,0.0385,0.318,127.947,233267,2003,11,True
Don't Wait,Dashboard Confessional,0.422,0.836,D#/Eb,-4.088,0.0361,0.000251,0.351,0.165,154.013,245000,2006,4,True
Foolish,Ashanti,0.665,0.696,C,-5.763,0.0521,0.337,0.106,0.711,90.116,227387,2002,32,True
Not Today,Mary J. Blige Featuring Eve,0.907,0.628,A#/Bb,-2.551,0.0796,0.448,0.0423,0.902,94.027,253867,2004,10,True
Tal Vez,Ricky Martin,0.512,0.615,B,-5.318,0.0319,0.216,0.123,0.193,115.884,279227,2003,8,True
How Did You Know?,Mynt Featuring Kim Sozzi,0.698,0.889,A,-4.288,0.0409,0.012,0.065,0.818,128.015,229172,2004,2,True
Cha-Cha Slide,Mr. C The Slide Man,0.854,0.903,B,-6.821,0.147,0.0423,0.316,0.814,131.02,222080,2001,10,True
"I Breathe In, I Breathe Out",Chris Cagle,0.316,0.514,G,-7.048,0.0271,0.178,0.194,0.242,185.882,243947,2002,20,True
Home,Blake Shelton,0.576,0.455,G,-7.587,0.0267,0.583,0.0912,0.206,127.856,227040,2008,20,True
Only You Can Love Me This Way,Keith Urban,0.566,0.429,D,-9.478,0.0286,0.457,0.173,0.325,147.957,247680,2009,19,True
Alright,Darius Rucker,0.601,0.806,G,-4.579,0.0345,0.0527,0.185,0.711,89.87,231920,2009,20,True
My Love Goes On And On,Chris Cagle,0.577,0.932,F#/Gb,-6.137,0.0593,0.352,0.0609,0.92,161.949,182867,2000,11,True
Get Drunk And Be Somebody,Toby Keith,0.628,0.896,D,-4.132,0.0557,0.229,0.365,0.666,128.06,178840,2006,20,True
She Couldn't Change Me,Montgomery Gentry,0.67,0.823,F,-10.592,0.033,0.00436,0.318,0.787,117.44,260133,2001,21,True
Thug Lovin',Ja Rule Featuring Bobby Brown,0.769,0.685,C#/Db,-5.648,0.177,0.133,0.667,0.771,93.043,290387,2003,10,True
Thug Holiday,Trick Daddy Featuring LaTocha Scott,0.767,0.654,C#/Db,-9.088,0.289,0.372,0.147,0.546,138.062,294067,2003,9,True
Beautiful Goodbye,Jennifer Hanson,0.623,0.878,D,-3.662,0.0372,0.146,0.137,0.608,113.225,258360,2003,10,True
The Way You Love Me,Faith Hill,0.627,0.716,D,-7.175,0.0352,0.127,0.0344,0.734,101.99,186067,2001,56,True
These Are The Days,O-Town,0.598,0.627,A,-6.323,0.038,0.000968,0.0626,0.432,119.991,263933,2003,5,True
Face Down,The Red Jumpsuit Apparatus,0.545,0.932,G,-2.189,0.0399,0.000665,0.127,0.465,92.956,192000,2007,43,True
If Today Was Your Last Day,Nickelback,0.485,0.911,D#/Eb,-5.749,0.0355,8.67e-05,0.092,0.568,89.956,249067,2009,22,True
Miss Murder,AFI,0.308,0.873,G#/Ab,-4.542,0.0533,0.00022,0.0974,0.686,143.519,206587,2006,20,True
You Make Me Sick,P!nk,0.77,0.686,B,-6.596,0.168,0.00223,0.347,0.657,100.53,247533,2001,19,True
Mississippi Girl,Faith Hill,0.499,0.765,A,-4.148,0.0521,0.113,0.0509,0.665,83.916,232707,2005,20,True
Party People,Nelly Featuring Fergie,0.64,0.849,C#/Db,-3.994,0.357,0.354,0.587,0.666,163.925,238573,2008,10,True
Splash Waterfalls,Ludacris,0.728,0.846,F#/Gb,-6.102,0.407,0.102,0.233,0.702,145.813,290760,2004,21,True
Holler Back,The Lost Trailers,0.442,0.921,D,-2.344,0.0635,0.259,0.163,0.601,178.124,190813,2008,13,True
Escape,Enrique Iglesias,0.777,0.852,B,-5.329,0.0295,0.0299,0.145,0.877,125.994,208040,2002,20,True
Just A Baby Boy,Snoop Dogg Featuring Tyrese & Mr. Tan,0.856,0.717,F#/Gb,-4.358,0.209,0.0464,0.355,0.738,94.822,238000,2001,4,True
Lovebug,Jonas Brothers,0.577,0.495,E,-6.007,0.0593,0.158,0.269,0.522,158.215,220693,2009,14,True
Everytime We Touch,Cascada,0.635,0.974,G#/Ab,-5.373,0.052,0.00474,0.41,0.495,142.049,196467,2006,31,True
I Will Possess Your Heart,Death Cab For Cutie,0.605,0.619,A,-8.971,0.0261,0.423,0.0732,0.578,133.074,505773,2008,12,True
Kids,MGMT,0.451,0.931,A,-3.871,0.0719,0.00076,0.361,0.172,122.961,302840,2009,6,True
Rakata,Wisin & Yandel,0.872,0.786,C#/Db,-5.473,0.142,0.0348,0.0776,0.722,96.002,172680,2006,5,True
Hot 2Nite,New Edition,0.726,0.799,C#/Db,-5.082,0.173,0.49,0.14,0.867,100.069,203760,2004,12,True
SexyBack,Justin Timberlake,0.967,0.583,G,-5.562,0.0789,0.0584,0.0519,0.964,117.0,242733,2007,36,True
Got Your Money,Ol' Dirty Bastard Featuring Kelis,0.934,0.459,C#/Db,-7.654,0.189,0.0516,0.222,0.697,103.04,239547,2000,20,True
Whatever You Like,Anya Marina,0.663,0.643,F,-4.383,0.0316,0.535,0.308,0.368,121.97,228907,2009,1,True
Emotional,Carl Thomas,0.548,0.542,C#/Db,-8.435,0.0409,0.544,0.148,0.389,83.106,271868,2001,20,True
Troublemaker,Akon Featuring Sweet Rush,0.856,0.78,G,-4.256,0.105,0.131,0.401,0.835,122.067,237173,2008,1,True
Change Clothes,JAY-Z,0.895,0.628,A#/Bb,-3.79,0.0473,0.0412,0.059,0.34,104.009,258427,2004,18,True
S.O.S.,Jonas Brothers,0.602,0.669,G,-3.904,0.0635,0.000917,0.114,0.74,137.058,153347,2008,21,True
I Should Have Cheated,Keyshia Cole,0.436,0.533,D,-4.266,0.0472,0.265,0.332,0.366,130.768,327693,2006,19,True
Lights And Sounds,Yellowcard,0.344,0.972,B,-3.675,0.116,8.48e-05,0.293,0.387,167.819,208187,2006,10,True
Misery Business,Paramore,0.517,0.906,C#/Db,-3.677,0.0735,0.00272,0.113,0.731,172.977,211520,2008,30,True
You Gets No Love,Faith Evans,0.749,0.677,F,-3.502,0.125,0.211,0.196,0.917,96.872,241400,2002,20,True
Set It Off,Juvenile,0.695,0.595,C#/Db,-9.091,0.194,0.18,0.087,0.746,168.136,257000,2001,15,True
If I Never See Your Face Again,Maroon 5 Featuring Rihanna,0.745,0.867,C#/Db,-2.446,0.0374,0.017,0.281,0.936,106.006,201000,2008,20,True
Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,0.775,0.897,A,-8.327,0.106,0.0234,0.536,0.719,127.004,230507,2002,20,True
Mr. Mom,Lonestar,0.505,0.842,A#/Bb,-3.316,0.0475,0.0576,0.111,0.671,172.136,208693,2005,20,True
Ain't Nothing 'Bout You,Brooks & Dunn,0.676,0.753,G#/Ab,-6.239,0.0252,0.0957,0.362,0.772,96.993,241093,2001,20,True
Ladies Love Country Boys,Trace Adkins,0.661,0.959,G,-4.439,0.0408,0.0539,0.381,0.96,116.284,221413,2007,20,True
You Complete Me,Keyshia Cole,0.681,0.666,D,-4.984,0.0491,0.578,0.26,0.732,111.401,230920,2009,10,True
Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,0.826,0.67,D,-5.559,0.169,0.00798,0.495,0.794,74.007,226293,2006,21,True
Second Chance,Shinedown,0.46,0.796,C,-4.501,0.0333,0.00107,0.106,0.182,100.011,222067,2009,41,True
In The Ayer,Flo Rida Featuring will.i.am,0.83,0.746,F,-6.286,0.0579,0.00456,0.26,0.646,125.992,220507,2008,21,True
Stand Up,Ludacris Featuring Shawnna,0.697,0.891,F#/Gb,-4.372,0.342,0.453,0.11,0.684,98.738,212866,2004,28,True
Lip Gloss,Lil Mama,0.619,0.87,D,-4.956,0.501,0.41,0.0571,0.94,188.772,219773,2007,11,True
Angel,Shaggy Featuring Rayvon,0.74,0.766,F#/Gb,-2.939,0.178,0.116,0.0406,0.807,170.531,235133,2001,28,True
Inside Your Heaven,Carrie Underwood,0.38,0.596,G,-3.469,0.0315,0.123,0.132,0.16,134.443,243267,2005,12,True
Come On Over Baby (All I Want Is You),Christina Aguilera,0.829,0.915,G#/Ab,-3.205,0.106,0.226,0.246,0.779,118.903,203333,2000,21,True
When I Said I Do,Clint Black,0.507,0.411,A#/Bb,-8.657,0.0276,0.308,0.106,0.184,102.806,268960,2000,20,True
All I Want To Do,Sugarland,0.709,0.725,E,-4.999,0.0556,0.208,0.158,0.759,97.046,213360,2008,16,True
Big Star,Kenny Chesney,0.655,0.807,C,-7.674,0.0309,0.0056,0.159,0.73,120.781,239560,2003,20,True
Hanging On,Cheyenne Kimball,0.573,0.934,F,-3.377,0.0372,0.0105,0.318,0.544,118.773,249160,2006,6,True
Hillbilly Deluxe,Brooks & Dunn,0.568,0.829,G,-4.713,0.0461,0.312,0.514,0.551,155.041,258693,2007,9,True
Cowboys Like Us,George Strait,0.462,0.549,C,-6.224,0.0308,0.225,0.148,0.261,127.98,219160,2004,19,True
Closer To Love,Mat Kearney,0.641,0.601,C,-8.51,0.0337,0.508,0.121,0.553,104.984,217560,2009,7,True
Round And Round,Jonell & Method Man,0.679,0.732,F,-4.393,0.238,0.306,0.0946,0.904,90.634,230640,2002,17,True
The Lucky One,Faith Hill,0.677,0.864,F,-4.062,0.0319,0.0551,0.351,0.69,119.981,216427,2006,9,True
Through The Fire And Flames,DragonForce,0.113,0.951,C,-4.743,0.129,0.00176,0.334,0.139,200.024,441560,2008,5,True
Just Want You To Know,Backstreet Boys,0.709,0.555,D,-3.506,0.0348,0.000269,0.0804,0.638,106.0,231187,2005,4,True
Play My Music,Jonas Brothers,0.471,0.875,D,-3.499,0.087,0.000652,0.239,0.759,177.98,197507,2008,5,True
Suspicions,Tim McGraw,0.599,0.733,C,-6.182,0.0299,0.327,0.091,0.798,147.305,316973,2008,5,True
Some Girls (Dance With Women),JC Chasez Featuring Dirt McGirt,0.872,0.838,F#/Gb,-6.687,0.26,0.055,0.0596,0.932,98.011,272093,2004,5,True
Get Like Me,David Banner Featuring Chris Brown,0.823,0.753,C#/Db,-4.199,0.476,0.00323,0.228,0.656,117.281,224547,2008,21,True
Where I'm From,Jason Michael Carroll,0.532,0.815,G#/Ab,-5.834,0.0392,0.0301,0.0721,0.546,149.728,276480,2009,11,True
Like This,Mims,0.771,0.693,G,-7.483,0.293,0.0317,0.342,0.525,97.163,203627,2007,20,True
Twang,George Strait,0.561,0.956,A,-3.331,0.0799,0.279,0.0801,0.78,158.621,175600,2009,1,True
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,0.472,0.532,A#/Bb,-5.882,0.0319,0.586,0.106,0.152,129.777,257360,2000,20,True
DJ Play A Love Song,Jamie Foxx Featuring Twista,0.793,0.618,D,-8.664,0.108,0.109,0.331,0.31,119.984,258800,2006,14,True
Shadow,Ashlee Simpson,0.462,0.738,C,-3.852,0.0282,0.0355,0.101,0.303,77.966,237427,2004,7,True
Just A Dream,Carrie Underwood,0.526,0.781,G,-3.673,0.0369,0.0613,0.121,0.358,142.06,284707,2009,20,True
The Pretender,Foo Fighters,0.433,0.959,A,-4.04,0.0431,0.000917,0.028,0.365,172.984,269373,2008,20,True
I'm A King,P$C Featuring T.I. & Lil Scrappy,0.73,0.483,C,-8.959,0.327,0.0428,0.103,0.535,168.049,212800,2005,11,True
Somewhere I Belong,Linkin Park,0.451,0.951,C#/Db,-3.754,0.0645,0.00038,0.261,0.442,162.065,213933,2003,20,True
I Will...But,SHeDAISY,0.675,0.837,D,-5.105,0.0354,0.103,0.123,0.888,112.53,219973,2000,20,True
Shake Your Bon-Bon,Ricky Martin,0.638,0.937,C,-4.642,0.0444,0.0942,0.327,0.762,100.03,192333,2000,18,True
Your Man,Josh Turner,0.744,0.637,F#/Gb,-4.483,0.0241,0.337,0.0696,0.785,100.511,211893,2006,20,True
He Can't Love U,Jagged Edge,0.721,0.836,G#/Ab,-3.972,0.206,0.112,0.235,0.508,126.279,244053,2000,20,True
Where The Party At,Jagged Edge With Nelly,0.596,0.661,F,-6.239,0.226,0.31,0.0847,0.86,129.491,232573,2001,29,True
The Little Girl,John Michael Montgomery,0.658,0.434,C#/Db,-8.527,0.025,0.354,0.112,0.218,83.921,232640,2001,20,True
P.I.M.P.,50 Cent,0.7,0.758,A#/Bb,-3.012,0.342,0.0444,0.0401,0.889,78.693,249467,2003,25,True
Streetcorner Symphony,Rob Thomas,0.633,0.886,C#/Db,-3.892,0.0456,0.109,0.0438,0.753,81.811,247827,2007,20,True
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,0.705,0.693,B,-7.153,0.155,0.374,0.65,0.555,137.741,252987,2009,20,True
When Love Takes Over,David Guetta Featuring Kelly Rowland,0.674,0.862,B,-4.614,0.0253,0.0157,0.169,0.5,129.965,191000,2009,9,True
Universal Mind Control,Common Featuring Pharrell,0.868,0.92,E,-4.17,0.055,0.39,0.155,0.694,119.994,213613,2009,6,True
Cleaning This Gun (Come On In Boy),Rodney Atkins,0.514,0.798,D,-3.669,0.0494,0.0612,0.104,0.677,145.995,226813,2008,20,True
Can't Get You Out Of My Head,Kylie Minogue,0.645,0.578,A#/Bb,-7.606,0.0459,0.292,0.0744,0.459,137.013,214627,2002,20,True
